"Day","Date","Hours","Focus","Deliverable","PR"
"D1","2026-09-07","5.2","Entity + migration cho 14 bảng theo database.md (users, auth_tokens, categories, products, attachments, cart_items, orders, order_items, order_status_history, email_notifications + 3 bảng Advance để sẵn schema)","Migration chạy sạch trên DB rỗng và DB test; entity khớp constraint/index/CHECK trong database.md","04"
"D2","2026-09-08","5.2","Seed CLI idempotent (1 admin, 2 customer, 3 category, 12-20 product gồm out-of-stock/inactive/stock=1) + RolesGuard/decorator dùng chung cho auth và admin","npm run seed -- --profile=demo chạy hai lần không nhân bản; RolesGuard sẵn sàng cho các PR sau","04"
"D3","2026-09-09","5.2","email_notifications outbox + @nestjs/bull/Redis wiring + SMTP adapter (Mailpit) + scheduler dispatcher (SYS-01/SYS-02)","Redis down vẫn giữ PENDING; worker gửi thử qua Mailpit; retry có giới hạn 3 lần","05"
"D4","2026-09-10","5.2","Register + activation email (EMAIL_VERIFICATION) + login/logout, JWT guard, Redis token blacklist","PENDING→ACTIVE qua token một lần; chỉ ACTIVE login được; logout revoke token ngay","06"
"D5","2026-09-11","5.2","Auth e2e còn lại + bắt đầu catalog public: sản phẩm nổi bật, danh sách/tìm kiếm/lọc, chi tiết","GET /products, /products/:id, featured=true chỉ trả product/category active","09"
"D6","2026-09-14","5.2","Hoàn thiện catalog public (pagination, sort ổn định, index đúng cột sort) + bắt đầu admin product CRUD","Query list có index created_at DESC,id DESC; admin tạo/sửa sản phẩm qua DTO","09"
"D7","2026-09-15","5.2","Archive sản phẩm (soft-delete isActive=false) + upload/thay/gỡ ảnh sản phẩm; bắt đầu giỏ hàng","PR09 xong: catalog + admin CRUD + upload ảnh có e2e; entity/DTO giỏ hàng sẵn sàng","09"
"D8","2026-09-16","5.2","Hoàn thiện giỏ hàng (PUT set quantity tuyệt đối, DELETE idempotent, tối đa 20 dòng) + bắt đầu checkout COD","PR11 xong: cart e2e pass; DTO/entity checkout sẵn sàng","11"
"D9","2026-09-17","5.2","Checkout COD happy path: transaction, snapshot giá/tên/sku, row lock stock, Idempotency-Key","Đặt hàng thành công tạo order+items+history+mail intent cùng một transaction","12"
"D10","2026-09-18","5.2","Checkout rollback/concurrency (2 user tranh nhau stock=1) + mail đặt hàng thành công","Chỉ một request thắng khi stock=1; replay cùng Idempotency-Key trả lại đúng order cũ","12"
"D11","2026-09-21","5.2","Hoàn thiện regression checkout + bắt đầu orders: lịch sử/chi tiết đơn của customer","PR12 xong; GET /orders và /orders/:id đúng ownership, trả theo snapshot","13"
"D12","2026-09-22","5.2","Hủy đơn khi còn PENDING + ghi order_status_history (append-only, from/to status)","Hoàn tồn kho đúng một lần; cancel cạnh tranh confirm chỉ một bên thắng","13"
"D13","2026-09-23","5.2","Admin order: list/detail + chuyển trạng thái (state machine PENDING→CONFIRMED/REJECTED→COMPLETED)","Reject bắt buộc có lý do; transition sai bị chặn 409","13"
"D14","2026-09-24","5.2","Mail admin xác nhận/từ chối đơn (intent trong transaction chuyển trạng thái) + test race confirm/reject/cancel","Mail confirm/reject xuất hiện đúng ở Mailpit; race test không tạo trạng thái mâu thuẫn","13"
"D15","2026-09-25","5.2","Hoàn thiện PR13 + hồi quy toàn bộ yellow scope (lint:check, format:check, build, test:cov, test:e2e) + rà Swagger","15 chức năng vàng pass CI local; route chính có @ApiOperation/@ApiResponse cho lỗi","13"
"D16","2026-09-28","2.0","Demo rehearsal trên clean clone + viết known-limitations + chuẩn bị gửi mentor review","Clone sạch chạy được từ đầu (migration+seed+start:dev); demo 10 phút; backlog P1/P2 liệt kê rõ","—"
