"Roles","Chức năng","Các endpoint dự kiến hoặc trigger","Kỹ thuật áp dụng","ID","Priority","Params","Request body","Success status","Response dự kiến","Errors","Acceptance criteria","PR","Estimate note"
"Guest","Đăng ký tài khoản customer","POST /api/v1/auth/register","DTO validation; bcrypt; unique constraint; auth token; durable email notification; i18n","AUTH-01","P0","Không có; header ngôn ngữ tùy chọn","RegisterRequest: username 3..30 lowercase; email <=254 normalize; password 8 ký tự và <=72 byte; không nhận role/status","201","UserResponse status PENDING; không có access token","400 validation/field lạ; 409 email hoặc username trùng","Tạo CUSTOMER/PENDING, verification token hash và EMAIL_VERIFICATION notification cùng transaction; duplicate đồng thời vẫn 409","04","Tái sử dụng auth tutorial nhưng thêm activation"
"Guest","Kích hoạt email","POST /api/v1/auth/verify-email","One-time hashed token; transaction; expiry; generic errors","AUTH-02","P0","Không có","VerifyEmailRequest {token: opaque string}","204","NoContent","400 token sai/hết hạn/đã dùng; 409 account đã INACTIVE bởi admin","Token chỉ dùng một lần; cập nhật emailVerifiedAt và PENDING->ACTIVE trong cùng transaction","04","Không lưu raw token trong DB"
"Guest","Đăng nhập","POST /api/v1/auth/login","Passport/JWT; bcrypt; account status; Redis blacklist; i18n","AUTH-03","P0","Không có","LoginRequest: email; password","200","AuthResponse","400 validation; 401 credential sai hoặc account chưa ACTIVE","Sai email/password/trạng thái dùng message phù hợp không lộ chi tiết; chỉ ACTIVE nhận token","04","Role/status đọc DB ở request bảo vệ"
"Guest","Yêu cầu quên mật khẩu","POST /api/v1/auth/forgot-password","Rate limit; one-time hashed token; durable email notification","AUTH-04","P0","Không có","ForgotPasswordRequest {email}","202","MessageResponse chung","400 validation; 429 vượt rate limit","Email tồn tại và ACTIVE thì revoke token reset cũ, tạo token mới + PASSWORD_RESET notification; response luôn giống nhau","05","Chống account enumeration; không gửi raw token vào log"
"Guest","Đặt lại mật khẩu","POST /api/v1/auth/reset-password","One-time token; bcrypt; transaction; token version revocation","AUTH-05","P0","Không có","ResetPasswordRequest {token,newPassword,confirmPassword}","204","NoContent","400 token/password sai, hết hạn hoặc đã dùng","Hash password, đánh dấu token used và tăng user tokenVersion trong cùng transaction để revoke mọi access token cũ","05","Không chỉ blacklist một JWT không biết"
"Customer/Admin","Đăng xuất","POST /api/v1/auth/logout","JWT guard; Redis token blacklist","AUTH-06","P0","Authorization Bearer","Không có","204","NoContent","401 token thiếu/sai/hết hạn/revoked","Token hiện tại bị revoke và lần gọi API tiếp theo trả 401","04","Tái sử dụng Redis module"
"Customer/Admin","Xem tài khoản hiện tại","GET /api/v1/users/me","JWT guard; response DTO","USER-01","P0","Authorization Bearer","Không có","200","UserResponse {user:{id,username,email,role,status,emailVerifiedAt}}","401","Không echo token và không lộ password hash","05","Account ACTIVE mới vào được"
"Customer/Admin","Sửa hồ sơ cá nhân","PATCH /api/v1/users/me","JWT guard; partial DTO; unique constraint; transaction","USER-02","P0","Authorization Bearer","UpdateProfileRequest {username?}; ít nhất một field","200","UserResponse","400; 401; 409 username trùng","Không cho sửa role/status/emailVerifiedAt; body rỗng 400; normalize username giống register","05","Email change ngoài scope vì cần verify lại"
"Customer/Admin","Đổi mật khẩu","PATCH /api/v1/users/me/password","JWT guard; bcrypt compare/hash; transaction; token revocation","USER-03","P0","Authorization Bearer","ChangePasswordRequest {currentPassword,newPassword,confirmPassword}","204","NoContent","400 validation; 401 currentPassword sai","Xác thực mật khẩu cũ; mật khẩu mới khác cũ; revoke các token cũ sau đổi thành công","05","Không log password"
"Guest","Xem danh mục đang hoạt động","GET /api/v1/categories","Pagination; query builder; index","CAT-01","P0","limit=20 mặc định 1..50; offset=0 mặc định >=0","Không có","200","CategoriesResponse {categories,categoriesCount}","400 query sai","Chỉ active; sort createdAt DESC,id DESC; count trước phân trang","07","Public read"
"Guest","Tìm kiếm và lọc sản phẩm","GET /api/v1/products","Pagination; parameterized ILIKE; query builder; indexes","PROD-01","P0","q<=100; categoryId UUID; minPrice/maxPrice chuỗi VND; featured true|false; limit; offset","Không có","200","ProductsResponse {products,productsCount}","400 query/range sai","Chỉ product và category active; %/_ trong q là literal; fixed sort; không N+1","07","MVP dữ liệu nhỏ chưa thêm trigram"
"Guest","Xem chi tiết sản phẩm","GET /api/v1/products/:id","UUID pipe; join category/image; visibility rule","PROD-02","P0","id UUID","Không có","200","ProductResponse","400 UUID sai; 404 không tồn tại hoặc không visible","Response có giá/tồn hiện tại và URL ảnh công khai; product inactive trả 404","07","Public read"
"Guest","Xem review sản phẩm","GET /api/v1/products/:id/reviews","Pagination; aggregate rating; ownership-neutral response","REVIEW-01","P0","id UUID; limit; offset","Không có","200","ReviewsResponse {reviews,reviewsCount,averageRating}","400; 404 product không visible","Sort createdAt DESC,id DESC; batch user summary; không lộ email; count/average theo toàn bộ review","08","Không N+1 user lookup"
"Customer","Tạo review sản phẩm đã mua","POST /api/v1/products/:id/reviews","JWT/RBAC; completed-purchase exists query; unique constraint","REVIEW-02","P0","id UUID; Authorization Bearer","ReviewCreateRequest {rating:1..5,comment:1..2000 nonblank}","201","ReviewResponse","400; 401; 403; 404; 409 chưa mua hoàn tất hoặc đã review","Mỗi customer một review/product; chỉ khi có order COMPLETED chứa product; không tự đánh giá nhiều lần","08","Unique(user_id,product_id)"
"Customer","Sửa review của mình","PATCH /api/v1/reviews/:id","JWT/RBAC; ownership; partial DTO","REVIEW-03","P0","id UUID; Authorization Bearer","ReviewPatchRequest {rating?,comment?}; ít nhất một field","200","ReviewResponse","400; 401; 403; 404 không thuộc user","Chỉ owner sửa; admin không sửa nội dung thay customer; body rỗng 400","08","Ownership trong query"
"Customer","Xóa review của mình","DELETE /api/v1/reviews/:id","JWT/RBAC; ownership; delete","REVIEW-04","P0","id UUID; Authorization Bearer","Không có","204","NoContent","400; 401; 403; 404 không thuộc user","Xóa đúng review owner; không lộ review private/non-owner","08","Hard delete chấp nhận cho review MVP"
"Guest","Xem ảnh sản phẩm công khai","GET /api/v1/attachments/:id","File streaming; ownership/link check; MIME/content validation","FILE-01","P0","id UUID","Không có","200","BinaryImage với Content-Type image/jpeg|png|webp","400 UUID sai; 404 file không phải ảnh hiện tại của product visible","Không phục vụ file orphan/ảnh cũ/ảnh của product hoặc category inactive","07","Tái dùng attachments nhưng sửa lifecycle"
