"Sheet row","Role","Level","Màu","Chức năng","Full scope","Feature hours","PR","Ghi chú giới hạn"
"3","Guest","Basic","Yellow","Đăng ký tài khoản","YES","4","06","Tạo CUSTOMER/PENDING; activation riêng"
"4","Guest","Basic","Yellow","Xem các sản phẩm nổi bật","YES","2","09","is_featured và is_active; pagination"
"5","Guest","Basic","Yellow","Danh sách và tìm kiếm/lọc sản phẩm","YES","4","09","keyword/category/minPrice/maxPrice; sort ổn định"
"6","Guest","Basic","Yellow","Xem chi tiết sản phẩm","YES","2","09","Chỉ sản phẩm và category active ở public API"
"8","Customer","Basic","Yellow","Đăng nhập/đăng xuất","YES","4","06","JWT; Redis revoke; account ACTIVE"
"9","Customer","Basic","White","Xem/sửa thông tin cá nhân; đổi mật khẩu","YES","4","07","Không tự sửa role/status/emailVerifiedAt"
"10","Customer","Basic","Yellow","Thêm/sửa/xóa sản phẩm trong giỏ","YES","4","11","PUT absolute quantity; DELETE idempotent"
"11","Customer","Basic","Yellow","Xem danh sách sản phẩm trong giỏ","YES","2","11","Giá hiển thị lấy hiện tại; checkout kiểm lại"
"12","Customer","Basic","Yellow","Đặt hàng và thanh toán sản phẩm","YES","12","12","COD; transaction; stock lock; idempotency"
"13","Customer","Basic","Yellow","Xem lịch sử đơn hàng","YES","3","13","Chỉ đơn của current user; pagination"
"14","Customer","Basic","Yellow","Xem chi tiết và trạng thái đơn hàng","YES","3","13","Snapshot giá/tên; status history"
"15","Customer","Basic","Yellow","Hủy đơn trước khi admin xác nhận","YES","4","13","Chỉ PENDING; hoàn tồn đúng một lần"
"16","Customer","Basic","White","Bình luận một cấp và đánh giá sản phẩm","YES","5","10","Một review/user/product; cần order COMPLETED"
"18","Customer","Advance","White","Chia sẻ sản phẩm qua Facebook/X","YES","2","14","Trả canonical share URLs; không OAuth/post hộ"
"19","Customer","Advance","White","Chat với admin","YES","12","15","REST history + WebSocket; text only"
"20","Customer","Advance","White","Gợi ý sản phẩm mới cho admin","YES","3","14","Tạo và xem suggestion của mình"
"22","Admin","Basic","White","Quản lý người dùng","YES","4","08","List/detail/active-inactive; không đổi role"
"23","Admin","Basic","White","Quản lý danh mục sản phẩm CRUD","YES","3","09","Category có product không hard delete"
"24","Admin","Basic","Yellow","Quản lý sản phẩm CRUD","YES","7","09","Archive product; một ảnh; không variant"
"25","Admin","Basic","Yellow","Quản lý đơn hàng","YES","6","13","List/detail/state machine; reject có reason"
"27","Admin","Advance","White","Quản lý yêu cầu gợi ý sản phẩm","YES","4","14","List/detail/approve/reject; không auto-create product"
"28","Admin","Advance","White","Thống kê bán chạy và doanh thu tháng/năm","YES","7","16","Chỉ order COMPLETED; Asia/Bangkok"
"30","System","Basic","White","Mail kích hoạt tài khoản","YES","4","05-06","Durable intent + Bull worker"
"31","System","Basic","White","Mail quên mật khẩu","YES","4","05-07","Generic HTTP response; token một lần"
"32","System","Basic","Yellow","Mail admin xác nhận/từ chối đơn","YES","3","13","Tạo intent trong transaction chuyển trạng thái"
"33","System","Basic","Yellow","Mail đặt hàng thành công","YES","2","12-13","Tạo intent trong transaction checkout"
"35","System","Advance","White","Mail thống kê doanh thu cuối tháng","YES","4","16","00:10 ngày đầu tháng; prior month; idempotent"

