"Day","Date","Hours","Focus","Deliverable","PR"
"D1","2026-09-09","5.2","Đọc sheet; map 27 chức năng; chốt màu/scope/assumption/payment COD","Scope matrix 27/27 và danh sách câu hỏi mentor","01"
"D2","2026-09-10","5.2","Hoàn thiện endpoint/trigger; DTO; response; errors; acceptance criteria","API requirement full scope review được","01"
"D3","2026-09-11","5.2","ERD 14 bảng; constraints; indexes; transaction/locking; self-review","ERD v1 và database review checklist gửi mentor","02"
"D4","2026-09-14","5.2","Init project; config validation; i18n; Swagger; Docker Compose; CI","App boot cùng PostgreSQL/Redis/Mailpit; quality scripts chạy","03"
"D5","2026-09-15","5.2","Entities/migrations nền; migration test; seed CLI skeleton","DB rỗng migrate được; seed idempotent bước đầu","04"
"D6","2026-09-16","5.2","Email notification outbox; Bull/Redis; SMTP adapter; scheduler dispatcher","Fake transport và retry/recovery tests chạy","05"
"D7","2026-09-17","5.2","Register/activation/login/logout; JWT; role/status guards","PENDING→ACTIVE; chỉ ACTIVE login; logout revoke token","06"
"D8","2026-09-18","5.2","Forgot/reset; profile; đổi mật khẩu","Token một lần; access token cũ bị revoke; profile DTO an toàn","07"
"D9","2026-09-21","5.2","Admin user list/detail/active-inactive; hoàn thiện auth e2e và seed","RBAC/ownership/account status đủ test","08"
"D10","2026-09-22","5.2","Public category/product; featured; search/filter/pagination/detail","Catalog public đúng visibility và query contract","09"
"D11","2026-09-23","5.2","Admin category/product CRUD; archive/delete rules","Catalog admin đúng RBAC/constraints; migration khớp ERD","09"
"D12","2026-09-24","5.2","Upload/replace/delete product image; file compensation; catalog tests","DB rollback không phá ảnh đang dùng; file validation đủ","09"
"D13","2026-09-25","5.2","Review/rating list/create/update/delete; aggregate","Verified purchase; unique user/product; ownership tests","10"
"D14","2026-09-28","5.2","Cart GET/PUT/DELETE; limit/stock validation; concurrent writes","Một dòng/user/product; tối đa 20 dòng; cart e2e","11"
"D15","2026-09-29","5.2","Checkout COD happy path; snapshot; idempotency; notification intent","Atomic order happy path; replay trả cùng order","12"
"D16","2026-09-30","5.2","Checkout rollback/concurrency/lock tests; query review","Stock=1 chỉ một buyer thắng; không partial data","12"
"D17","2026-10-01","5.2","User order history/detail/status/cancel","Ownership; cancel PENDING; hoàn tồn đúng một lần","13"
"D18","2026-10-02","5.2","Admin order list/detail/state machine; order emails","Reject có reason; race tests; placed/confirmed/rejected mail","13"
"D19","2026-10-05","5.2","Share links; customer/admin product suggestion workflow","Social URLs an toàn; suggestion status/RBAC/ownership","14"
"D20","2026-10-06","5.2","Chat schema; conversation APIs; paginated message history","Một OPEN conversation/customer; REST ownership đúng","15"
"D21","2026-10-07","5.2","WebSocket gateway; auth handshake; rooms; unread/read; tests","Customer/admin chat realtime không lộ room khác","15"
"D22","2026-10-08","5.2","Best-selling và revenue month/year queries; indexes/query plans","COMPLETED-only statistics đúng timezone và pagination","16"
"D23","2026-10-09","5.2","Monthly report cron; durable mail intent; idempotency/timezone tests","Mỗi admin/tháng có một report; retry qua queue","16"
"D24","2026-10-12","5.2","Full e2e; performance; debug; security/validation pass; fix feedback","CI xanh; lỗi P0/P1 đã xử lý; query evidence lưu trong PR","17"
"D25","2026-10-13","5.2","Clean-clone migration/seed/start; Swagger/runbook; demo và handover","Người khác chạy được; demo 10–15 phút; limitations rõ","17"

